# tool	category	prompt
browser_navigate	required	You are testing the mcp-accessibility-scanner MCP tool browser_navigate. Use mcp-accessibility-scanner. Call browser_navigate with data:text/html,%3Ctitle%3ENavigate%3C/title%3E%3Ch1%3ENavigate%20OK%3C/h1%3E. Return only PASS if navigation completes and the page snapshot or title contains Navigate OK or Navigate, otherwise FAIL with the observed result.
browser_navigate_back	required	You are testing the mcp-accessibility-scanner MCP tool browser_navigate_back. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EFirst%3C/title%3E%3Ch1%3EFirst%3C/h1%3E, then navigate to data:text/html,%3Ctitle%3ESecond%3C/title%3E%3Ch1%3ESecond%3C/h1%3E, then call browser_navigate_back. After that, call browser_evaluate with function "() => document.title". Return only PASS if the result is First, otherwise FAIL with the observed result.
browser_network_requests	required	You are testing the mcp-accessibility-scanner MCP tool browser_network_requests. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3ENetwork%3C/title%3E%3Ch1%3ENetwork%3C/h1%3E, then call browser_network_requests. Return only PASS if browser_network_requests completes and returns request information or an empty request list without error, otherwise FAIL with the exact error.
browser_take_screenshot	required	You are testing the mcp-accessibility-scanner MCP tool browser_take_screenshot. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EScreenshot%3C/title%3E%3Ch1%3EScreenshot%20OK%3C/h1%3E, then call browser_take_screenshot with type "png", filename "mcp-loop-screenshot.png", and fullPage false. Return only PASS if the screenshot tool reports that it saved a screenshot, otherwise FAIL with the observed result.
browser_snapshot	required	You are testing the mcp-accessibility-scanner MCP tool browser_snapshot. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3ESnapshot%3C/title%3E%3Cmain%3E%3Ch1%3EHello%20MCP%3C/h1%3E%3C/main%3E, then call browser_snapshot. Return only PASS if the snapshot contains Hello MCP, otherwise FAIL with the observed output.
browser_click	required	You are testing the mcp-accessibility-scanner MCP tool browser_click. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EClick%3C/title%3E%3Cbutton%20onclick%3D%22document.body.dataset.clicked%3D'yes'%22%3EClick%20me%3C/button%3E, take a browser_snapshot, then call browser_click on the Click me button. After that, call browser_evaluate with function "() => document.body.dataset.clicked". Return only PASS if the result is yes, otherwise FAIL with the observed result.
browser_drag	required	You are testing the mcp-accessibility-scanner MCP tool browser_drag. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EDrag%3C/title%3E%3Cdiv%20draggable%3D%22true%22%20style%3D%22width%3A80px%3Bheight%3A40px%3Bbackground%3A%23acf%22%3EDrag%20source%3C/div%3E%3Cdiv%20style%3D%22margin-top%3A40px%3Bwidth%3A120px%3Bheight%3A50px%3Bbackground%3A%23cfa%22%20ondragover%3D%22event.preventDefault()%22%20ondrop%3D%22document.body.dataset.dropped%3D'yes'%22%3EDrop%20target%3C/div%3E, take a browser_snapshot, then call browser_drag from Drag source to Drop target. After that, call browser_evaluate with function "() => document.body.dataset.dropped || 'drag-called'". Return only PASS if browser_drag completes and the result is yes or drag-called, otherwise FAIL with the observed result.
browser_hover	required	You are testing the mcp-accessibility-scanner MCP tool browser_hover. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EHover%3C/title%3E%3Cbutton%20onmouseover%3D%22document.body.dataset.hovered%3D'yes'%22%3EHover%20me%3C/button%3E, take a browser_snapshot, then call browser_hover on the Hover me button. After that, call browser_evaluate with function "() => document.body.dataset.hovered". Return only PASS if the result is yes, otherwise FAIL with the observed result.
browser_select_option	required	You are testing the mcp-accessibility-scanner MCP tool browser_select_option. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3ESelect%3C/title%3E%3Clabel%3EChoice%20%3Cselect%20aria-label%3D%22Choice%22%3E%3Coption%20value%3D%22one%22%3EOne%3C/option%3E%3Coption%20value%3D%22two%22%3ETwo%3C/option%3E%3C/select%3E%3C/label%3E, take a browser_snapshot, then call browser_select_option on the Choice combobox with values ["two"]. After that, call browser_evaluate with function "() => document.querySelector('select').value". Return only PASS if the result is two, otherwise FAIL with the observed result.
scan_page	required	You are testing the mcp-accessibility-scanner MCP tool scan_page. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EScan%3C/title%3E%3Cimg%20src%3D%22x%22%3E%3Ch1%3EScan%3C/h1%3E, then call scan_page with violationsTag ["wcag2a","wcag2aa"]. Return only PASS if scan_page completes and reports violation/pass counts, otherwise FAIL with the observed result.
browser_tabs	required	You are testing the mcp-accessibility-scanner MCP tool browser_tabs. Use mcp-accessibility-scanner. Call browser_tabs with action "list", then action "new", then action "list", then action "select" with index 0. Return only PASS if browser_tabs completes those operations without error, otherwise FAIL with the exact error.
browser_navigation_timeout	required	You are testing the mcp-accessibility-scanner MCP tool browser_navigation_timeout. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3ENavTimeout%3C/title%3E%3Ch1%3ENavTimeout%3C/h1%3E, then call browser_navigation_timeout with timeout 30000. Return only PASS if the tool reports Navigation timeout set to 30000ms, otherwise FAIL with the observed output.
browser_default_timeout	required	You are testing the mcp-accessibility-scanner MCP tool browser_default_timeout. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EDefaultTimeout%3C/title%3E%3Ch1%3EDefaultTimeout%3C/h1%3E, then call browser_default_timeout with timeout 30000. Return only PASS if the tool reports Default timeout set to 30000ms, otherwise FAIL with the observed output.
browser_wait_for	required	You are testing the mcp-accessibility-scanner MCP tool browser_wait_for. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EWait%3C/title%3E%3Cscript%3EsetTimeout(()%3D%3E%7Bconst%20p%3Ddocument.createElement('p')%3Bp.textContent%3D'Ready%20Text'%3Bdocument.body.appendChild(p)%3B%7D%2C100)%3C/script%3E%3Ch1%3EWaiting%3C/h1%3E, then call browser_wait_for with text "Ready Text". Return only PASS if the wait completes and the page contains Ready Text, otherwise FAIL with the observed output.
audit_site	required	You are testing the mcp-accessibility-scanner MCP tool audit_site. Use mcp-accessibility-scanner. Call audit_site with strategy "provided", urls ["data:text/html,%3Ctitle%3EAuditSite%3C/title%3E%3Cimg%20src%3D%22x%22%3E%3Ch1%3EAudit%20Site%3C/h1%3E"], maxPages 1, maxDepth 0, sameOriginOnly true, includeSubdomains false, excludePathPatterns ["logout|signout"], ignoreQueryParams ["utm_source"], violationsTag ["wcag2a","wcag2aa"], maxNodesPerViolation 5, and waitAfterNavigationMs 50. Return only PASS if audit_site completes and reports a JSON report path or scanned page totals, otherwise FAIL with the observed output.
scan_page_matrix	required	You are testing the mcp-accessibility-scanner MCP tool scan_page_matrix. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EMatrix%3C/title%3E%3Cimg%20src%3D%22x%22%3E%3Ch1%3EMatrix%3C/h1%3E, then call scan_page_matrix with variants [{"name":"baseline"},{"name":"mobile","viewport":{"width":390,"height":844}}], violationsTag ["wcag2a","wcag2aa"], maxNodesPerViolation 5, waitAfterApplyMs 50, and reloadBetweenVariants true. Return only PASS if scan_page_matrix completes and reports a JSON report path or variants, otherwise FAIL with the observed output.
audit_keyboard	required	You are testing the mcp-accessibility-scanner MCP tool audit_keyboard. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EKeyboard%3C/title%3E%3Ca%20href%3D%22%23main%22%3ESkip%20to%20main%3C/a%3E%3Cmain%20id%3D%22main%22%3E%3Cinput%20aria-label%3D%22Search%22%3E%3Cbutton%3EGo%3C/button%3E%3C/main%3E, then call audit_keyboard with maxTabs 8, includeShiftTab false, stopOnCycle true, cycleWindow 4, checkSkipLink true, skipLinkMaxTabs 3, activateSkipLink false, checkFocusTrap true, checkFocusVisibility true, checkFocusJumps true, jumpScrollThresholdPx 600, screenshotOnIssue false, and maxIssueScreenshots 2. Return only PASS if audit_keyboard completes and reports a JSON report path or keyboard summary, otherwise FAIL with the observed output.
